NAME,DATE,ISSUE,LIST,RET,QIB,NII,RII,OTH,TOT,EPS,RoNW,NAV,P.B,P.E,P.E.D,D,Y
Vedant Fashions Limited,2/16/2022,866,935,0.079676674,7.49,1.07,0.39,0,2.57,7,0.1683,35.45,24.42877292,123.7142857,123.7142857,1,2022
Adani Wilmar Limited,2/8/2022,230,227,-0.013043478,5.73,56.3,3.92,25.21,17.37,5.07,0.1997,55.78,4.1233417,45.36489152,45.36489152,1,2022
AGS Transact Technologies Limited,1/31/2022,175,176,0.005714286,2.68,25.61,3.08,0,7.79,5.5,0.1336,45.85,3.816793893,31.81818182,31.81818182,1,2022
CMS Info Systems Limited,12/31/2021,216,220.2,0.019444444,1.98,1.45,2.15,0,1.95,9.56,0.1599,66.52,3.247143716,22.59414226,22.59414226,1,2021
Supriya Lifescience Limited,12/28/2021,274,421,0.53649635,31.83,161.22,56.01,0,71.51,12.7,0.4643,66.46,4.12278062,21.57480315,21.57480315,1,2021
HP Adhesives Limited,12/27/2021,274,315,0.149635036,1.82,19.04,81.24,0,20.96,3.19,-0.1838,82.18,3.334144561,85.89341693,85.89341693,1,2021
Data Patterns (India) Limited,12/24/2021,585,856.05,0.463333333,190.86,254.22,23.14,0,119.62,7.72,0.1894,46.28,12.64044944,75.77720207,75.77720207,1,2021
MedPlus Health Services Limited,12/23/2021,796,1040,0.306532663,111.89,85.33,5.23,3.05,52.59,3.15,0.0519,117.43,6.778506344,252.6984127,252.6984127,1,2021
Metro Brands Limited,12/22/2021,500,436,-0.128,8.49,3.02,1.13,0,3.64,4.19,0.1438,41.9,11.93317422,119.3317422,119.3317422,1,2021
C.E. Info Systems Limited,12/21/2021,1033,1581,0.530493708,196.36,424.69,15.2,0,154.71,7.95,0.1266,76.28,13.5422129,129.9371069,129.9371069,1,2021
Shriram Properties Limited,12/20/2021,118,133,0.127118644,1.85,4.82,12.72,1.25,4.6,-3.67,0.0086,60.07,1.964374896,-32.15258856,0,0,2021
RateGain Travel Technologies Limited,12/17/2021,425,360,-0.152941176,8.42,42.04,8.08,1.37,17.41,-2.1,-0.0942,58,7.327586207,-202.3809524,0,0,2021
Anand Rathi Wealth Limited,12/14/2021,550,602.05,0.094636364,2.5,25.42,7.76,1.32,9.78,12.81,0.2833,69.81,7.878527432,42.93520687,42.93520687,1,2021
Tega Industries Limited,12/13/2021,453,760,0.677704194,215.45,666.19,29.44,0,219.04,14.34,0.1719,108.06,4.192115491,31.58995816,31.58995816,1,2021
Star Health and Allied Insurance Company Limited,12/10/2021,900,848,-0.057777778,1.03,0.13,1.1,0.1,0.79,0.91,0.0779,90.33,9.963467287,989.010989,989.010989,1,2021
Go Fashion (India) Limited,11/30/2021,690,1310,0.8986,100.73,262.08,49.7,0,135.46,4.01,0.0776,72.01,9.58,172.07,172.07,1,2021
Tarsons Products Limited,11/26/2021,662,682,0.0302,115.77,184.58,10.56,1.83,77.49,10.55,0.2573,78.74,8.41,62.75,62.75,1,2021
